ID,Date / Time,Country,City,State,Shape,Summary,lat,lng,Date,Time
1874,8/13/16 22:15,USA,Jacksonville,FL,Light,"My girlfriend noticed a bright star over one of the trees and pointed it 
out to me.",30.3321838,-81.6556509,08/13/16,22:15
2000,08/08/2016 11:16,USA,Jacksonville,FL,Light,At least 20 different colored shining objects in the sky that are moving.,30.3321838,-81.6556509,08/08/2016,11:16
2107,08/01/2016 20:45,USA,Jacksonville,FL,Other,"Three bright reds lights crossing the sky, and then straight up and out of 
sight.",30.3321838,-81.6556509,08/01/2016,20:45
2108,08/01/2016 20:45,USA,Jacksonville,FL,Light,"Red lights, three, moving from east to west, the stright up.",30.3321838,-81.6556509,08/01/2016,20:45
2680,07/03/2016 23:00,USA,Jacksonville,FL,Circle,"A floating ball of light that zig-zag's at light speed leaving a light 
trail.",30.3321838,-81.6556509,07/03/2016,23:00
2857,6/23/16 00:31,USA,Jacksonville,FL,Other,"A fast-moving, pentagon-shaped object rapidly transiting across the 
norhtern face of the moon.",30.3321838,-81.6556509,06/23/16,00:31
3187,5/29/16 00:30,USA,Jacksonville,FL,Triangle,"While stargazing, an ultra fast moving, glowing (white/yellow) object 
appeared in a clear, cloudless sky. ((anonymous report))",30.3321838,-81.6556509,05/29/16,00:30
3365,5/13/16 21:30,USA,Jacksonville,FL,Triangle,Large triangle craft.,30.3321838,-81.6556509,05/13/16,21:30
3485,05/01/2016 22:30,USA,Jacksonville,FL,Other,"Free floating Orbs above Sunbeam Road in Duval County, Florida. I watch 
sober.",30.3321838,-81.6556509,05/01/2016,22:30
3567,4/23/16 22:30,USA,Jacksonville,FL,Other,Orange 5 ufo formation.,30.3321838,-81.6556509,04/23/16,22:30
3644,4/17/16 20:22,USA,Jacksonville,FL,Light,"Light looks like satellite little biger, cover 50 grades of azimuth in 1 
second, A=0 grades, H=56 approach, solid light. ((anonymous))",30.3321838,-81.6556509,04/17/16,20:22
3684,4/14/16 22:58,USA,Jacksonville,FL,Triangle,"I was sitting on bench in front of my place and looked up and saw a 
triangular shaped craft moving very fast. Then it stopped for a min",30.3321838,-81.6556509,04/14/16,22:58
3950,3/23/16 21:10,USA,Jacksonville,FL,Fireball,Fireball chased by jets.,30.3321838,-81.6556509,03/23/16,21:10
4197,03/02/2016 22:50,USA,Jacksonville,OH,Triangle,2 side-by-side green lights moving super fast and were super loud.,40.3722906,-80.6114625,03/02/2016,22:50
4310,2/25/16 00:00,USA,Jacksonville,FL,Circle,"((HOAX??)) I stepped outside during night hours and look up to the sky, 
because I'm a skeptic. Started seeing these odd white lights.",30.3321838,-81.6556509,02/25/16,00:00
96,12/09/2016 21:50,USA,Portland,OR,Other,Pulsing green light over Portland.,45.5202471,-122.6741948,12/09/2016,21:50
161,12/01/2016 19:45,USA,Portland,TN,Light,2 brilliant lights.,36.5817089,-86.5163832,12/01/2016,19:45
361,11/15/16 19:10,USA,Portland,OR,Triangle,"Transparent and shimmering, triangular, completely silent, travelling N to 
S 20 yards above rooftops, three jets followed.",45.5202471,-122.6741948,11/15/16,19:10
371,11/15/16 03:29,USA,Portland,OR,Other,"Hovering oval object in Portland, Oregon.",45.5202471,-122.6741948,11/15/16,03:29
511,11/07/2016 10:30,USA,Portland,OR,Other,Color shifting object moving east to west mid-morning.,45.5202471,-122.6741948,11/07/2016,10:30
1207,9/22/16 20:45,USA,Portland,OR,Sphere,Slow moving orb over Portland oregon,45.5202471,-122.6741948,09/22/16,20:45
1545,09/03/2016 23:55,USA,Portland,OR,Fireball,"At approx 11:55 pm, I observed in the western sky a large green fireball, 
with a strange oblong shape to it, traveling northward, at a",45.5202471,-122.6741948,09/03/2016,23:55
